Unitats;UTM (X);Explotador/s;Denominació comercial;Superfície;Signatura;Inici d'activitat;Localitat;Municipi;Subgrup;Excepcions ratio turístic;Memoria descriptiva;Categoria;Hotel de ciutat;Places;Grup;Estat;UTM(Y);Direcció;longitude;latitude
45;470834.32600000035;HOTEL HOSTAL BALEARES 2017 SL (B16540114);NOU BALEARES;519;H/3007;14/07/2020;Palma;PALMA;Allotjaments;Excepció al ràtio forçosa per reapertura de baixa definitiva.;;4 estrelles;Sí;90;Hotel;Alta;4380430.367000001;Plaça FRANCESC GARCIA I ORELL, 8. 07006 PALMA, Mallorca;2.6604259549379616;39.57308255305824
32;511053.2416000003;CAN FERRERETA, SL (B16544744);Can Ferrereta;4799;H/3008;14/05/2021;Santanyí;SANTANYÍ;Allotjaments;Excepció article 5.5 llei 8/2012, hotel de ciutat;;5 estrelles;Sí;64;Hotel;Alta;4356215.333000001;Carrer CAN FERRERETA, 12. 07650 SANTANYÍ, Mallorca;3.128291836573593;39.35531509121813
31;469565.5195000004;NOBIS HOTELES PALMA SPANIEN SLU (B42817007);Concepció;857;H/3009;19/05/2021;Palma;PALMA;Allotjaments;Excepció article 5.5 llei 8/2012, hotel de ciutat;;5 estrelles;Sí;62;Hotel;Alta;4380586.8332;Carrer CONCEPCIÓ, 34. 07012 PALMA, Mallorca;2.6456464054461666;39.57444825545967
25;;XICLATI S.L. (B07862543);Ynaira;979;H/3010;15/06/2020;Ariany;ARIANY;Allotjaments;Excepció article 5.5 llei 8/2012, hotel de ciutat;;4 estrelles Superior;Sí;50;Hotel;Alta;;Carrer Major, 36. 07529 ARIANY, Mallorca;;
11;530322.01183;SOTTOCENERI, SLU (B57688202);JARDÍ D´ARTÀ;0;H/3011;29/12/2000;Artà;ARTÀ;Allotjaments;;;4 estrelles;;22;Hotel;Alta;4393962.54633;Carrer ABEURADOR, 21. 07570 ARTÀ, Mallorca;3.353657312482378;39.69497009352049
304;450704.1191999996;INVERSIONES PLOMER SL (B07985823);Zafiro Palace Andratx;37800;H/3012;21/06/2021;Camp De Mar;ANDRATX;Allotjaments;;;5 estrelles;No;616;Hotel;Alta;4376798.3926;Carrer CROMLEC, 3. 07160 Camp De Mar, ANDRATX, Mallorca;2.4263296743897897;39.53943715952891
108;;MIMAGO SL (B07622368);MORLANS SUITES;0;H/3013;16/07/1984;Peguera;CALVIÀ;Allotjaments;Disposició transitòria primera de la Llei 6/2017 de 31 de juliol;;4 estrelles Superior;;216;Hotel;Alta;;Carrer MONTE, 1. 07160 Peguera, CALVIÀ, Mallorca;;
1;467720.21999999974;CAN UETAM, SL (B09823113);Can Uetam;1043;H/3014;14/07/2021;Valldemossa;VALLDEMOSSA;Allotjaments;Excepció article 5.5 llei 8/2012, hotel de ciutat;;4 estrelles;Sí;2;Hotel;Alta;4395554.859999999;Camí ANTIC A PALMA, 3. 07170 VALLDEMOSSA, Mallorca;2.623430960921859;39.70924516646072
154;532119.990844;LHOTSE INVESTMENTS SA (A07408248);THB Sa Coma Platja;;H/3015;07/07/2000;Coma (La);SANT LLORENÇ DES CARDASSAR;Allotjaments;;;4 estrelles;;308;Hotel;Alta;4380444.87333;Avinguda SES SAVINES, S/N. 07560 Coma (La), SANT LLORENÇ DES CARDASSAR, Mallorca;3.3739710099481104;39.57310766219083
24;469692.87210000027;NIVIA HOTELS SL (B57979239);NIVIA BORN BOUTIQUE HOTEL;217;H/3016;28/07/2021;Palma;PALMA;Allotjaments;Excepció article 5.5 llei 8/2012, hotel de ciutat;;5 estrelles;Sí;48;Hotel;Alta;4380106.616699999;Carrer PARAIRES, 24. 07001 PALMA, Mallorca;2.6471511014157936;39.57012587363185
86;533353.55383;AMLA EXPLOTACIONES TURISTICAS, SA (A83791558);HOTEL GLOBALES CALA BONA;;H/3017;07/10/2011;Cala Bona;SON SERVERA;Allotjaments;;;4 estrelles;;172;Hotel;Alta;4384597.73881;Carrer LLIRI, S/N. 07559 Cala Bona, SON SERVERA, Mallorca;3.3885419673571464;39.61047883559299
59;519552.88999999966;Hoteles RR SL (B16916926);Eques Petit Resort;9233;H/3018;17/06/2021;Cala D´Or;SANTANYÍ;Allotjaments;;;4 estrelles Superior;No;117;Hotel;Alta;4358061.17;Avinguda DE CALONGE, 9. 07660 Cala D´Or, SANTANYÍ, Mallorca;3.2269981083500143;39.371796858227164
11;;COMERCIAL RAMIS, S.L. (B07041783);Palma Riad;295;H/3019;09/09/2021;Palma;PALMA;Allotjaments;Excepció article 5.5 llei 8/2012, hotel de ciutat;;5 estrelles;Sí;22;Hotel;Alta;;Carrer Sant jaume, 5. 07012 PALMA, Mallorca;;
75;531967.624394;NEW ARDEIT S.L (B47526355);IBERSOL SIURELL;;H/3020;09/08/2010;Coma (La);SANT LLORENÇ DES CARDASSAR;Allotjaments;;;4 estrelles;;150;Hotel;Alta;4380526.28324;Carrer DÀLIES, 10. 07687 Coma (La), SANT LLORENÇ DES CARDASSAR, Mallorca;3.3722009749200916;39.57384688307398
